id_,year,month,state,mode,etiology,animal_type
46171,2014,6,Ohio,Animal Contact,"Campylobacter; Salmonella enterica; Escherichia coli, Shiga toxin-producing",Cattle
46172,2014,6,Kansas,Animal Contact,Campylobacter lari; Campylobacter jejuni,Cattle
46173,2014,7,Minnesota,Animal Contact,"Escherichia coli, Shiga toxin-producing",Sheep or goats
46174,2014,5,Minnesota,Animal Contact,Salmonella enterica,Other small mammalian household pet
46175,2014,4,Iowa,Animal Contact,Salmonella enterica,Sheep or goats; Cattle; Other (specify); Other (specify); Other reptile; Pet fish
46176,2014,6,Utah,Animal Contact,Salmonella enterica,Pig
46177,2014,3,Utah,Animal Contact,Salmonella enterica,Baby chick or duckling
46178,2014,7,Minnesota,Animal Contact,Cryptosporidium parvum,Cattle
46179,2014,8,Minnesota,Animal Contact,Cryptosporidium parvum,Cattle
46180,2013,12,Kentucky,Animal Contact,Salmonella enterica,Lizard
46181,2014,8,Colorado,Animal Contact,Cryptosporidium unknown,Cattle
46182,2012,2,Multistate,Animal Contact,Salmonella enterica; Salmonella enterica,Lizard
46183,2014,7,Colorado,Animal Contact,Cryptosporidium parvum,Cattle
46184,2014,1,Multistate,Animal Contact,Salmonella enterica,Other (specify)
46185,2014,7,Tennessee,Animal Contact,Cryptosporidium,Cattle
46186,2014,9,Ohio,Animal Contact,Salmonella enterica,Pig
46187,2014,2,Multistate,Animal Contact,Salmonella enterica; Salmonella enterica; Salmonella enterica,Other poultry
46188,2014,7,Minnesota,Animal Contact,Salmonella enterica,Other poultry
46189,2014,10,Minnesota,Animal Contact,Cryptosporidium parvum,Cattle
46190,2012,12,Multistate,Animal Contact,Salmonella enterica,Other small mammalian household pet
46191,2014,4,Multistate,Animal Contact,Salmonella enterica,Turtle
46192,2014,7,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46193,2014,10,Ohio,Animal Contact,Salmonella enterica,Other reptile
46194,2014,6,Ohio,Animal Contact,Campylobacter unknown,Dog or Puppy
46195,2014,12,Louisiana,Animal Contact,Cryptosporidium unknown,Cattle
46196,2014,3,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46197,2014,4,New Hampshire,Animal Contact,Salmonella enterica,Baby chick or duckling
46198,2014,12,Ohio,Animal Contact,Salmonella enterica,Other small mammalian household pet
46199,2014,3,Colorado,Animal Contact,Salmonella enterica,Other poultry
46200,2014,6,Michigan,Animal Contact,Salmonella enterica,Turtle
46201,2014,5,Indiana,Animal Contact,"Escherichia coli, Shiga toxin-producing",Pig
46202,2014,8,Colorado,Animal Contact,Salmonella enterica,Other poultry
46203,2014,10,Arkansas,Animal Contact,Cryptosporidium unknown,Cattle
46204,2014,5,Wisconsin,Animal Contact,Salmonella enterica,Baby chick or duckling
46205,2014,6,New Hampshire,Animal Contact,Campylobacter jejuni,Other poultry
46206,2015,3,Ohio,Animal Contact,Salmonella enterica,Cattle
46207,2015,1,Illinois,Animal Contact,Cryptosporidium,Cattle
46208,2014,9,Arizona,Animal Contact,Salmonella enterica,Other (specify); Cattle; Pig; Sheep or goats; Other (specify)
46209,2015,3,Michigan,Animal Contact,Cryptosporidium unknown,Cattle
46210,2015,3,Ohio,Animal Contact,Cryptosporidium unknown,Cattle
